company,employees,trade,naics,authority,state,city,address,zip,penalty,citations,violation_types,issued,activity_nr,osha_url
"TOTAL SITE, INC.",12,Construction_General,237110,Federal OSHA,TX,SHENANDOAH,201 DAVID VETTER BLVD.,77385,12770.0,3,Serious/Other,2026-02-24T00:00:00,348502535,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348502535
QRO FABRICATION N WELDING,15,Metal_Welding_Fabrication,238120,Federal OSHA,TX,PORTER,20700 F.M. 1314 HIGHLANDS MIDDLE SCHOOL CONSTRUCTION PROJECT,77365,6810.0,4,Serious,2026-02-23T00:00:00,348671702,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348671702
"LIBERTY FORGE, INC.",40,Metal_Welding_Fabrication,332111,Federal OSHA,TX,LIBERTY,1507 FORT WORTH ST.,77575,34756.0,4,Serious,2026-02-20T00:00:00,348601956,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348601956
"BAKERS' SIGNS & MANUFACTURING, LLC",2,Manufacturing_Industrial,339950,Federal OSHA,TX,KATY,"24818 MORTON RANCH RD, B100",77493,4966.0,1,Other,2026-02-20T00:00:00,348502253,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348502253
VILLAGOMEZ JR. PAINTING CO.,10,Construction_General,238320,Federal OSHA,TX,HOUSTON,3320 DEL MONTE DR.,77019,2554.0,2,Serious/Other,2026-02-20T00:00:00,348744830,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348744830
B A ROOFING SOLUTIONS,8,Roofing,238160,Federal OSHA,TX,CYPRESS,18015 IVORY CROSSING,77433,9930.0,2,Serious,2026-02-19T00:00:00,348482308,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348482308
"INTEGRITY STORM EXPERTS & RESTORATION, INC.",9,Roofing,238160,Federal OSHA,TX,CYPRESS,18015 IVORY CROSSING,77433,5958.0,2,Serious,2026-02-19T00:00:00,348482431,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348482431
"RHG, LLC",25,Other,423320,Federal OSHA,TX,HOUSTON,3560 WEST 12TH STREET,77008,4256.0,2,Serious/Other,2026-02-19T00:00:00,348495797,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348495797
"PYRAMID WATERPROOFING, INC.",40,Construction_General,238390,Federal OSHA,TX,HOUSTON,122 BERRY RD,77022,2026.0,2,Other,2026-02-18T00:00:00,348711607,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348711607
"WIN. IT AMERICA, INC.",48,Other,493110,Federal OSHA,TX,HOUSTON,11142 BELTLINE ROAD,77067,18000.0,2,Serious,2026-02-17T00:00:00,348487729,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348487729
RONALD LOPEZ,1,Roofing,238160,Federal OSHA,TX,MONTGOMERY,10239 BURTON PATH,77316,12059.0,3,Serious,2026-02-17T00:00:00,348503103,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348503103
HECTOR AMADO,2,Construction_General,238130,Federal OSHA,TX,MONTGOMERY,2231 VARGAS STREET,77316,5676.0,2,Serious,2026-02-17T00:00:00,348503574,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348503574
EMMANUEL RODRIGUEZ,3,Construction_General,238130,Federal OSHA,TX,MONTGOMERY,1712 EL PINO STREET,77316,2838.0,1,Serious,2026-02-17T00:00:00,348503624,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348503624
ARMANDO PEREZ,4,Roofing,238160,Federal OSHA,TX,MONTGOMERY,1746 DUMAS ST,77316,19860.0,2,Repeat,2026-02-13T00:00:00,348520339,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348520339
ORTEGA MASONRY INC,5,Concrete_Masonry,238140,Federal OSHA,TX,CONROE,2024 SUGARBERRY GULLY,77301,10214.0,9,Serious/Other,2026-02-06T00:00:00,348525486,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348525486
MP COMMUNICATIONS,2,Construction_General,237130,Federal OSHA,TX,HUNTSVILLE,1 FINANCIAL PLAZA,77340,2838.0,1,Serious,2026-02-06T00:00:00,348493693,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348493693
TORRES & SON CONSTRUCTION,4,Construction_General,238130,Federal OSHA,TX,CONROE,"30.366131, -95.484057",77303,2383.0,1,Serious,2026-02-05T00:00:00,348486648,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348486648
"LMMM HOUSTON #80, LTD.",25,Other,445210,Federal OSHA,TX,NEW CANEY,20185 US HIGHWAY 59 SUITE 200,77357,165514.0,1,Repeat,2026-02-04T00:00:00,348598061,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348598061
"PLASTER DESIGN AND MASONRY, LLC",3,Concrete_Masonry,238140,Federal OSHA,TX,HUMBLE,17622 WESTLAKE HOUSTON PARKWAY,77346,12483.0,4,Serious/Other,2026-01-30T00:00:00,348493792,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348493792
OCTAVIO BAZANA,7,Concrete_Masonry,238140,Federal OSHA,TX,SPRING,22426 KUYKENDAHL RD,77389,10782.0,3,Serious,2026-01-30T00:00:00,348514621,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348514621
"MEPA CONSTRUCTION, LLC",8,Construction_General,238310,Federal OSHA,TX,SPRING,22426 KUYKENDAHL RD,77389,5676.0,2,Serious,2026-01-30T00:00:00,348514738,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348514738
FABRICATION OF RIG & EXPLORATION EQUIPMENT INC.,14,Manufacturing_Industrial,333132,Federal OSHA,TX,CLEVELAND,407 AUSTIN ST.,77327,7150.0,1,Repeat,2026-01-29T00:00:00,348602137,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348602137
DEL NORTE HARVESTING LLC,48,Other,115115,Federal OSHA,TX,GLEN FLORA,1 TREE TOWN ROAD,77443,5000.0,1,Other,2026-01-29T00:00:00,348487992,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348487992
ALVARO REYNA,2,Roofing,238160,Federal OSHA,TX,KATY,25003 BISON CREEK LOOP,77493,38303.0,2,Repeat,2026-01-28T00:00:00,348515263,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348515263
EMMANUEL RODRIGUEZ,2,Construction_General,238130,Federal OSHA,TX,MONTGOMERY,26443 N WAYLAND CHASE,77316,12059.0,3,Serious,2026-01-28T00:00:00,348509217,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348509217
MELVIN GALINDO NAVARRO MIRANDA,1,Roofing,238160,Federal OSHA,TX,MONTGOMERY,1915 LANGFORD ST.,77316,5959.0,1,Repeat,2026-01-26T00:00:00,348503541,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348503541
"NEW ENGLAND LEAD BURNING COMPANY, INC",22,Metal_Welding_Fabrication,332321,Federal OSHA,TX,HOUSTON,4600 HOMESTEAD ROAD,77028,13406.0,3,Other,2026-01-23T00:00:00,348528555,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348528555
GONZALO GOMEZ,3,Roofing,238160,Federal OSHA,TX,KATY,3033 WILD FOX DR.,77493,8512.0,2,Serious,2026-01-23T00:00:00,348503418,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348503418
RUFINO RUIZ-SANTIBANEZ,2,Construction_General,238130,Federal OSHA,TX,MONTGOMERY,10243 BURTON PATH,77316,2979.0,1,Serious,2026-01-23T00:00:00,348503434,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348503434
CARLOS AGUILAR,4,Construction_General,238130,Federal OSHA,TX,CONROE,17835 AILE PIERRE PASS,77302,11349.0,3,Serious,2026-01-22T00:00:00,348485244,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348485244
WILMER ROMERO-MALDONADO,5,Concrete_Masonry,238140,Federal OSHA,TX,CONROE,2422 SOUTH LOOP 336 WEST BLDG. 1401,77304,8514.0,5,Serious,2026-01-22T00:00:00,348511650,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348511650
ALBERTO HERNANDEZ-MARTINEZ,7,Construction_General,238170,Federal OSHA,TX,CONROE,106 NECHES NOOK CT.,77304,8512.0,3,Repeat/Serious,2026-01-22T00:00:00,348511445,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348511445
CARLOS AGUILAR,4,Construction_General,238130,Federal OSHA,TX,CONROE,17843 AILE PIERRE PASS,77302,3405.0,1,Serious,2026-01-22T00:00:00,348485301,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348485301
NICOLAS MARTINEZ-APARICIO,3,Roofing,238160,Federal OSHA,TX,CONROE,140 SILVERBOW CREEK WAY,77304,2838.0,2,Serious,2026-01-14T00:00:00,348510645,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348510645
PAUL YEATTS ENTERPRISE INC.,11,Concrete_Masonry,238140,Federal OSHA,TX,LEAGUE CITY,3535 COLUMBIA MEMORIAL PARKWAY,77574,9930.0,2,Serious,2025-12-17T00:00:00,348517939,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348517939
IMPERIAL MANUFACTURING LLC,8,Concrete_Masonry,327420,Federal OSHA,TX,HOUSTON,521 NORTHVILLE STREET,77037,6810.0,4,Serious/Other,2025-12-16T00:00:00,348610387,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348610387
IRIS CONSEPCION CORTES,1,Roofing,238160,Federal OSHA,TX,MONTGOMERY,1002 LOST WAGON,77356,3547.0,1,Serious,2025-12-16T00:00:00,348522178,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348522178
DOMINION CONSTRUCTION MANAGEMENT LLC,5,Construction_General,238130,Federal OSHA,TX,MONTGOMERY,21105 W FM 1097,77356,5107.0,1,Repeat,2025-12-15T00:00:00,348516626,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348516626
RUFINO RUIZ-SANTIBANEZ,3,Construction_General,238130,Federal OSHA,TX,WILLIS,969 GARDEN PATH DRIVE,77378,2128.0,1,Serious,2025-12-15T00:00:00,348510363,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348510363
SIGN CITY INC.,4,Manufacturing_Industrial,339950,Federal OSHA,TX,KATY,1811 W GRAND PKWY,77493,2128.0,1,Serious,2025-12-08T00:00:00,348502188,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348502188
"NMJ, INC",30,Other,531311,Federal OSHA,TX,HOUSTON,8039 BOONE ROAD,77072,6621.0,1,Other,2025-11-26T00:00:00,348593203,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348593203
"PREFERRED INDUSTRIAL CONTRACTORS, INC.",3,Oil_and_Gas,237120,Federal OSHA,TX,HOUSTON,12000 LAWNDALE ST,77017,6385.0,1,Other,2025-11-25T00:00:00,348502402,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348502402
"AAA CANVAS & AWNING CO., INC.",2,Manufacturing_Industrial,314910,Federal OSHA,TX,CONROE,213 S. LOOP 336 W.,77304,5959.0,1,Serious,2025-09-29T00:00:00,348510355,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348510355
EMILIO MORALES,4,Construction_General,238130,Federal OSHA,TX,ARCOLA,5227 CELESTIAL COURT,77583,2838.0,1,Serious,2025-09-29T00:00:00,348480583,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348480583
J & G CONSTRUCTION,1,Construction_General,238130,Federal OSHA,TX,ARCOLA,5227 CELESTIAL COURT,77583,2838.0,1,Serious,2025-09-29T00:00:00,348480682,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348480682
"FLEXMASTER, U.S.A., INC.",28,Metal_Welding_Fabrication,332322,Federal OSHA,TX,HOUSTON,4545 PINE TIMBERS STE. 324,77041,6951.0,1,Serious,2025-09-26T00:00:00,348505108,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348505108
SALVADOR GOMEZ,5,Roofing,238160,Federal OSHA,TX,ARCOLA,7711 BRUSHWOOD DR,77583,1700.0,2,Serious,2025-09-23T00:00:00,348480559,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348480559
